in s,C1 in V
-1.20000E-05,1.14746E+00
-1.19996E-05,1.04980E+00
-1.19992E-05,1.00098E+00
-1.19988E-05,7.56836E-01
-1.19984E-05,9.52148E-01
-1.19980E-05,1.00098E+00
-1.19976E-05,1.04980E+00
-1.19972E-05,9.52148E-01
-1.19968E-05,1.00098E+00
-1.19964E-05,1.04980E+00
-1.19960E-05,1.04980E+00
-1.19956E-05,1.00098E+00
-1.19952E-05,9.52148E-01
-1.19948E-05,1.00098E+00
-1.19944E-05,1.09863E+00
-1.19940E-05,9.52148E-01
-1.19936E-05,1.00098E+00
-1.19932E-05,9.52148E-01
-1.19928E-05,1.00098E+00
-1.19924E-05,1.00098E+00
-1.19920E-05,1.00098E+00
-1.19916E-05,9.03320E-01
-1.19912E-05,1.00098E+00
-1.19908E-05,9.52148E-01
-1.19904E-05,8.54492E-01
-1.19900E-05,9.03320E-01
-1.19896E-05,8.54492E-01
-1.19892E-05,7.56836E-01
-1.19888E-05,9.03320E-01
-1.19884E-05,9.52148E-01
-1.19880E-05,7.56836E-01
-1.19876E-05,6.59180E-01
-1.19872E-05,7.56836E-01
-1.19868E-05,7.08008E-01
-1.19864E-05,5.12695E-01
-1.19860E-05,5.12695E-01
-1.19856E-05,5.61523E-01
-1.19852E-05,5.12695E-01
-1.19848E-05,5.12695E-01
-1.19844E-05,4.63867E-01
-1.19840E-05,5.12695E-01
-1.19836E-05,4.15039E-01
-1.19832E-05,4.63867E-01
-1.19828E-05,3.66211E-01
-1.19824E-05,4.15039E-01
-1.19820E-05,2.19727E-01
-1.19816E-05,1.70898E-01
-1.19812E-05,1.70898E-01
-1.19808E-05,3.17383E-01
-1.19804E-05,3.66211E-01
-1.19800E-05,3.17383E-01
-1.19796E-05,3.66211E-01
-1.19792E-05,3.66211E-01
-1.19788E-05,1.70898E-01
-1.19784E-05,2.68555E-01
-1.19780E-05,2.19727E-01
-1.19776E-05,1.70898E-01
-1.19772E-05,2.19727E-01
-1.19768E-05,2.68555E-01
-1.19764E-05,3.66211E-01
-1.19760E-05,3.17383E-01
-1.19756E-05,1.22070E-01
-1.19752E-05,3.17383E-01
-1.19748E-05,3.17383E-01
-1.19744E-05,3.66211E-01
-1.19740E-05,2.19727E-01
-1.19736E-05,2.68555E-01
-1.19732E-05,3.17383E-01
